Анализируемая словоформа	Лемма	Грамматическая характеристика внутри части речи
В	﻿В	Ncmsny
России	Россия	Ncfsgn
случилась	случиться	Vmis-sfm-p
радость	радость	Ncfsan
.	.	SENT
О	о	Sp-l
ней	она	P-3fsln
объявила	объявить	Vmis-sfa-p
министр	министр	Ncmsny
образования	образование	Ncnsgn
и	и	C
науки	наука	Ncfsgn
Ольга	Ольга	Npfsny
Васильева	Васильев	Npmsgy
0	0	0
которая	который	P--fsna
14.06.2017	@card@	Mc---d
на	на	Sp-l
первой	первый	Mofsl
Всероссийской	всероссийский	Afpfsgf
научной	научный	Afpfsgf
конференции	конференция	Ncfsgn
«	«	-0
Теология	теология	Ncfsnn
в	в	Sp-l
гуманитарном	гуманитарный	Afpmslf
образовательном	образовательный	Afpmslf
пространстве	пространство	Ncnsln
»	»	-0
произнесла	произнести	Vmis-sfa-p
следующее	следующий	Afpnsaf
:	:	-0
«	«	-0
Сегодня	сегодня	R
окончательно	окончательно	R
Минюстом	Минюст	Ncmsin
подписан	подписать	Vmps-smpsp
приказ	приказ	Ncmsan
0	0	0
что	что	C
теология	теология	Ncfsnn
–	–	-0
не	не	Q
как	как	C
теология	теология	Ncfsnn
со	со	Sp-i
степенью	степень	Ncfsin
истории	история	Ncfsgn
0	0	0
философии	философия	Ncfsgn
или	или	C
филологии	филология	Ncfsgn
0	0	0
а	а	C
как	как	C
теология	теология	Ncfsnn
–	–	-0
кандидат	кандидат	Ncmsny
и	и	C
доктор	доктор	Ncmsny
имеет	иметь	Vmip3s-a-e
право	право	Ncnsan
быть	быть	Vmn----a-e
»	»	-0
.	.	SENT
Поскольку	поскольку	C
российский	российский	Afpmsnf
министр	министр	Ncmsny
образования	образование	Ncnsgn
и	и	C
науки	наука	Ncfsgn
изъясняется	изъясняться	Vmip3s-m-e
так	так	P-----r
0	0	0
что	что	C
ей	она	P-3fsdn
требуется	требоваться	Vmip3s-m-e
толмач	толмач	Ncmsny
0	0	0
переведу	перевести	Vmif1s-a-p
сказанное	сказать	Vmps-snpfpa
на	на	Sp-a
русский	русский	Afpmsaf
язык	язык	Ncmsan
:	:	-0
в	в	Sp-l
России	Россия	Ncfsln
теперь	теперь	P-----r
теология	теология	Ncfsnn
окончательно	окончательно	R
объявлена	объявить	Vmps-sfpsp
наукой	наука	Ncfsin
и	и	C
государство	государство	Ncnsnn
станет	стать	Vmif3s-a-p
штамповать	штамповать	Vmn----a-e
кандидатов	кандидат	Ncmpgy
и	и	C
докторов	доктор	Ncmpgy
богословия	богословие	Ncnsgn
.	.	SENT
Как	как	C
пояснила	пояснить	Vmis-sfa-p
Васильева	Васильев	Npmsgy
они	они	P-3-pnn
об	об	Sp-l
этом	этот	P--nsla
счастье	счастье	Ncnsln
«	«	-0
так	так	P-----r
долго	долго	R
мечтали	мечтать	Vmis-p-a-e
»	»	-0
.	.	SENT
В	в	Sp-a
это	это	P--nsan
местоимение	местоимение	Ncnsnn
«	«	-0
они	они	P-3-pnn
»	»	-0
явно	явно	R
не	не	Q
входят	входить	Vmip3p-a-e
академики	академик	Ncmpny
РАН	РАН	Ncfsgn
0	0	0
в	в	Sp-l
том	тот	P--nsla
числе	число	Ncnsln
и	и	C
нобелевские	нобелевский	Afpmpnf
лауреаты	лауреат	Ncmpny
0	0	0
а	а	C
также	также	Q
сотни	сотня	Ncfpnn
остепененных	остепененных	Afpmpgf
и	и	C
не	не	Q
остепененных	остепененных	Afpmpgf
ученых	ученый	Ncmpgy
0	0	0
ученых	ученый	Ncmpgy
0	0	0
которые	который	P---pna
писали	писать	Vmis-p-a-e
петиции	петиции	Ncfsgn
с	с	Sp-i
протестами	протест	Ncmpin
против	против	Sp-g
того	то	P--nsgn
0	0	0
чтобы	чтобы	C
в	в	Sp-a
число	число	Ncnsan
научных	научный	Afpmpgf
дисциплин	дисциплина	Ncfpgn
включали	включать	Vmis-p-a-e
теологию	теология	Ncfsan
0	0	0
то	то	P--nsnn
есть	быть	Vmip3s-a-e
«	«	-0
учение	учение	Ncnsnn
о	о	Sp-l
Боге	бог	Ncmsly
»	»	-0
.	.	SENT
В	в	Sp-a
число	число	Ncnsan
радующихся	радующихся	Vmps-p-mfpg
включились	включиться	Vmis-p-m-p
все	весь	P---paa
попы	поп	Ncmpny
во	во	Sp-l
главе	глава	Ncfsln
с	с	Sp-i
Гундяевым	Гундяевым	Npmsiy
0	0	0
члены	член	Ncmpny
таких	такой	P---pga
организаций	организация	Ncfpgn
как	как	P-----r
«	«	-0
Православные	православный	Afpmpnf
хоругвеносцы	хоругвеносцы	Ncmpny
»	»	-0
0	0	0
«	«	-0
Сорок	сорок	Mc--n
сороков	сорок	Ncmpgn
»	»	-0
0	0	0
а	а	C
также	также	Q
Энтео	Энтео	Npmsny
и	и	C
глава	глава	Ncmsny
администрации	администрация	Ncfsgn
президента	президент	Ncmsgy
Антон	Антон	Npmsny
Вайно	Вайно	Npmsny
по	по	Sp-d
прозвищу	прозвище	Ncnsdn
«	«	-0
Антоша-нооскоп	Антоша-нооскоп	Ncmsnn
»	»	-0
.	.	SENT
Последний	последний	Afpmsnf
прислал	прислать	Vmis-sma-p
в	в	Sp-a
адрес	адрес	Ncmsan
конференции	конференция	Ncfsgn
богословов	богослов	Ncmpgy
приветствие	приветствие	Ncnsan
в	в	Sp-l
котором	который	P--msla
сообщил	сообщить	Vmis-sma-p
что	что	P--nsan
решение	решение	Ncnsan
Минюста	Минюст	Ncmsgn
«	«	-0
стало	стать	Vmis-sna-p
мощным	мощный	Afpmsif
стимулом	стимул	Ncmsin
для	для	Sp-g
развития	развитие	Ncnsgn
гуманитарного	гуманитарный	Afpnsgf
знания	знание	Ncnsgn
»	»	-0
.	.	SENT
Вполне	вполне	R
вероятно	вероятно	R
0	0	0
что	что	C
сторонники	сторонник	Ncmpny
данного	данный	P--msga
решения	решение	Ncnsgn
могут	мочь	Vmip3p-a-e
сослаться	сослаться	Vmn----m-p
на	на	Sp-a
то	то	P--nsan
0	0	0
что	что	C
в	в	Sp-l
Гарварде	Гарварде	Ncmsln
0	0	0
Принстоне	Принстон	Ncmsln
и	и	C
в	в	Sp-l
ряде	ряд	Ncmsln
других	другой	P---pga
авторитетных	авторитетный	Afpmpgf
вузах	вуз	Ncmpln
Запада	Запад	Ncmsgn
есть	быть	Vmip3s-a-e
кафедры	кафедра	Ncfsgn
теологии	теология	Ncfsgn
и	и	C
там	там	P-----r
присваиваются	присваиваться	Vmip3p-m-e
степени	степень	Ncfsgn
кандидатов	кандидат	Ncmpgy
и	и	C
докторов	доктор	Ncmpgy
богословия	богословие	Ncnsgn
.	.	SENT
А	а	C
богословами	богословами	Ncmpin
были	быть	Vmis-p-a-e
Исаак	Исаак	Npmsny
Ньютон	Ньютон	Npmsny
0	0	0
Готфрид	Готфрид	Npmsny
Лейбниц	Лейбниц	Npmsny
0	0	0
а	а	C
также	также	Q
Чарльз	Чарльз	Npmsny
Дарвин	Дарвин	Npmsny
и	и	C
Грегор	Грегор	Npmsny
Мендель	Мендель	Npmsny
.	.	SENT
Все	все	P--nsnn
так	так	P-----r
.	.	SENT
Только	только	Q
при	при	Sp-l
этом	это	P--nsln
надо	надо	R
учесть	учесть	Vmn----a-p
несколько	несколько	Mc--a
принципиальных	принципиальный	Afpmpgf
отличий	отличие	Ncnpgn
России	Россия	Ncfsgn
от	от	Sp-g
Европы	Европа	Ncfsgn
и	и	C
Запада	Запад	Ncmsgn
в	в	Sp-l
целом	целое	Ncnsln
.	.	SENT
Во-первых	во-первых	R
0	0	0
на	на	Sp-l
Западе	Запад	Ncmsln
0	0	0
начиная	начинать	Vmgp---a-e
со	со	Sp-g
средних	средний	Afpmpgf
веков	век	Ncmpgn
0	0	0
монополия	монополия	Ncfsnn
на	на	Sp-a
образование	образование	Ncnsan
была	быть	Vmis-sfa-e
у	у	Sp-g
церкви	церковь	Ncfsgn
0	0	0
а	а	C
стало	стать	Vmis-sna-p
быть	быть	Vmn----a-e
0	0	0
образование	образование	Ncnsnn
0	0	0
в	в	Sp-l
том	тот	P--nsla
числе	число	Ncnsln
и	и	C
высшее	высший	Afpnsnf
не	не	Q
могло	мочь	Vmis-sna-e
не	не	Q
быть	быть	Vmn----a-e
богословским	богословский	Afpmpdf
.	.	SENT
Но	но	C
при	при	Sp-l
этом	это	P--nsln
в	в	Sp-l
Европе	Европа	Ncfsln
в	в	Sp-l
университетах	университет	Ncmpln
развивалась	развиваться	Vmis-sfm-e
наука	наука	Ncfsnn
:	:	-0
физика	физика	Ncfsnn
0	0	0
химия	химия	Ncfsnn
0	0	0
математика	математика	Ncfsnn
.	.	SENT
И	и	C
богословие	богословие	Ncnsnn
этому	этот	P--msda
совершенно	совершенно	R
не	не	Q
мешало	мешать	Vmis-sna-e
.	.	SENT
Напротив	напротив	R
0	0	0
выражаясь	выражаться	Vmgp---m-e
языком	язык	Ncmsin
президента	президент	Ncmsgy
России	Россия	Ncfsgn
0	0	0
теология	теология	Ncfsnn
"	-	"		
крышевала	крышевала	Vmis-sfa-e
"	-	"		
науки	наука	Ncfsgn
0	0	0
в	в	Sp-l
том	тот	P--nsla
числе	число	Ncnsln
и	и	C
естественные	естественный	Afpmpnf
.	.	SENT
В	в	Sp-l
России	Россия	Ncfsln
православная	православный	Afpfsnf
церковь	церковь	Ncfsnn
старательно	старательно	R
вытаптывала	вытаптывала	Vmis-sfa-p
любые	любой	P---paa
ростки	росток	Ncmpan
разума	разум	Ncmsgn
0	0	0
и	и	C
никаких	никакой	P---pga
признаков	признак	Ncmpgn
науки	наука	Ncfsgn
до	до	Sp-l
18	@card@	Mc---d
века	век	Ncmsgn
здесь	здесь	P-----r
не	не	Q
было	быть	Vmis-sna-e
.	.	SENT
И	и	C
только	только	Q
после	после	Sp-g
того	то	P--nsgn
0	0	0
как	как	C
Петр	Петр	Npmsny
ликвидировал	ликвидировать	Vmis-sma-p
патриаршество	патриаршество	Ncnsan
и	и	C
надел	надеть	Vmis-sma-p
на	на	Sp-a
РПЦ	РПЦ	Ncfsan
намордник	намордник	Ncmsan
0	0	0
он	он	P-3msnn
смог	смочь	Vmis-sma-p
завезти	завезти	Vmn----a-p
в	в	Sp-a
страну	страна	Ncfsan
ученых	ученый	Ncmpgy
из	из	Sp-g
Германии	Германия	Ncfsgn
0	0	0
Голландии	Голландия	Ncfsgn
и	и	C
Франции	Франция	Ncfsgn
.	.	SENT
Во-вторых	во-вторых	R
0	0	0
в	в	Sp-l
странах	страна	Ncfpln
Запада	Запад	Ncmsgn
ученые	ученый	Ncmpny
степени	степень	Ncfsgn
присуждают	присуждают	Vmip3p-a-e
учебные	учебный	Afpmpnf
заведения	заведение	Ncnpnn
0	0	0
а	а	C
не	не	Q
государство	государство	Ncnsnn
.	.	SENT
Тем	то	P--nsin
самым	самый	P--nsia
в	в	Sp-l
странах	страна	Ncfpln
–	–	-0
участницах	участницах	Ncmply
Болонского	Болонского	Afpmsgf
процесса	процесс	Ncmsgn
избегают	избегать	Vmip3p-a-e
фактического	фактический	Afpnsgf
признания	признание	Ncnsgn
религиозных	религиозный	Afpmpgf
догм	догма	Ncfpgn
на	на	Sp-l
государственном	государственный	Afpmslf
уровне	уровень	Ncmsln
0	0	0
что	что	C
явно	явно	R
противоречит	противоречить	Vmip3s-a-e
конституционному	конституционный	Afpmsdf
принципу	принцип	Ncmsdn
отделения	отделение	Ncnsgn
церкви	церковь	Ncfsgn
от	от	Sp-g
государства	государство	Ncnsgn
и	и	C
несовместимо	несовместимый	Afpnsns
со	со	Sp-i
светским	светский	Afpmsif
характером	характер	Ncmsin
государства	государство	Ncnsgn
.	.	SENT
То	то	P--nsnn
есть	быть	Vmip3s-a-e
0	0	0
на	на	Sp-l
Западе	Запад	Ncmsln
кафедры	кафедра	Ncfsgn
теологии	теология	Ncfsgn
в	в	Sp-l
университетах	университет	Ncmpln
–	–	-0
это	это	P--nsnn
0	0	0
скорее	скорый	Afcmsnf
0	0	0
дань	дань	Ncfsnn
традиции	традиция	Ncfsdn
0	0	0
которая	который	P--fsna
тянется	тянуться	Vmip3s-m-e
из	из	Sp-g
глубины	глубина	Ncfsgn
веков	век	Ncmpgn
.	.	SENT
И	и	C
еще	еще	R
0	0	0
возможно	возможно	R
0	0	0
дань	дань	Ncfsnn
благодарности	благодарность	Ncfsgn
богословию	богословие	Ncnsdn
и	и	C
церкви	церковь	Ncfsln
(	(	-0
католической	католический	Afpfsif
и	и	C
протестантской	протестантский	Afpfsif
)	)	-0
0	0	0
что	что	C
в	в	Sp-a
период	период	Ncmsan
своего	свой	P--msga
многовекового	многовековой	Afpmsgf
господства	господство	Ncnsgn
они	они	P-3-pnn
не	не	Q
задушили	задушить	Vmis-p-a-p
науку	наука	Ncfsan
0	0	0
хотя	хотя	C
имели	иметь	Vmis-p-a-e
для	для	Sp-g
этого	это	P--nsgn
все	весь	P---paa
возможности	возможность	Ncfsgn
.	.	SENT
Православная	православный	Afpfsnf
церковь	церковь	Ncfsnn
совершенно	совершенно	R
не	не	Q
заслуживает	заслуживать	Vmip3s-a-e
такой	такой	P--msna
благодарности	благодарность	Ncfsgn
.	.	SENT
Она	она	P-3fsnn
всегда	всегда	P-----r
была	быть	Vmis-sfa-e
лютым	лютым	Afpmsif
врагом	враг	Ncmsiy
науки	наука	Ncfsgn
и	и	C
все	весь	P---pna
успехи	успех	Ncmpnn
российской	российский	Afpfsgf
науки	наука	Ncfsgn
совершались	совершаться	Vmis-p-m-e
вопреки	вопреки	Sp-d
РПЦ	РПЦ	Ncfsdn
и	и	C
при	при	Sp-l
ожесточенном	ожесточенном	Afpnslf
сопротивлении	сопротивление	Ncnsln
этой	этот	P--fsga
организации	организация	Ncfsgn
.	.	SENT
Введение	введение	Ncnsnn
кафедр	кафедра	Ncfpgn
богословия	богословие	Ncnsgn
и	и	C
степеней	степень	Ncfpgn
докторов	доктор	Ncmpgy
и	и	C
кандидатов	кандидат	Ncmpgy
теологии	теология	Ncfsgn
на	на	Sp-l
уровне	уровень	Ncmsln
государственной	государственный	Afpfsgf
аттестации	аттестация	Ncfsgn
вполне	вполне	R
может	мочь	Vmip3s-a-e
разрушить	разрушить	Vmn----a-p
окончательно	окончательно	R
и	и	C
без	без	Sp-g
того	то	P--nsgn
хлипкое	хлипкое	Afpnsnf
здание	здание	Ncnsan
российской	российский	Afpfsgf
науки	наука	Ncfsgn
.	.	SENT
Министр	министр	Ncmsny
науки	наука	Ncfsgn
и	и	C
образования	образование	Ncnsgn
Васильева	Васильев	Npmsgy
0	0	0
известная	известный	Afpfsnf
тем	то	P--nsin
0	0	0
что	что	C
очень	очень	R
плохо	плохо	R
умеет	уметь	Vmip3s-a-e
членораздельно	членораздельно	R
излагать	излагать	Vmn----a-e
свои	свой	P---paa
мысли	мысль	Ncfsgn
0	0	0
зато	зато	C
является	являться	Vmip3s-m-e
верной	верный	Afpfsif
дочерью	дочь	Ncfsiy
Церкви	церковь	Ncfsgn
0	0	0
уже	уже	R
радостно	радостно	R
сообщила	сообщить	Vmis-sfa-p
пастве	паства	Ncfsdn
0	0	0
что	что	C
на	на	Sp-a
ближайший	ближайший	Afpmsaf
год	год	Ncmsan
она	она	P-3fsnn
выделила	выделить	Vmis-sfa-p
632	@card@	Mc---d
бюджетных	бюджетный	Afpmpgf
места	место	Ncnsgn
на	на	Sp-a
обучение	обучение	Ncnsan
в	в	Sp-l
вузах	вуз	Ncmpln
по	по	Sp-d
специальности	специальность	Ncfsdn
«	«	-0
теология	теология	Ncfsnn
»	»	-0
.	.	SENT
То	то	P--nsnn
есть	быть	Vmip3s-a-e
в	в	Sp-a
ближайшее	ближайший	Afpnsaf
время	время	Ncnsan
в	в	Sp-l
стране	страна	Ncfsln
появятся	появиться	Vmif3p-m-p
дипломированные	дипломированный	Afpmpnf
специалисты	специалист	Ncmpny
0	0	0
в	в	Sp-l
том	тот	P--nsla
числе	число	Ncnsln
кандидаты	кандидат	Ncmpny
и	и	C
доктора	доктор	Ncmpny
наук	наука	Ncfpgn
0	0	0
совершившие	совершить	Vmps-p-afpn
открытия	открытие	Ncnsgn
в	в	Sp-l
таких	такой	P---pla
разделах	раздел	Ncmpln
богословия	богословие	Ncnsgn
0	0	0
как	как	C
ангелология	ангелология	Ncfsnn
(	(	-0
учение	учение	Ncnsnn
об	об	Sp-l
ангелах	ангел	Ncmply
)	)	-0
0	0	0
сотериология	сотериология	Ncfsnn
(	(	-0
учение	учение	Ncnsnn
о	о	Sp-l
спасении	спасение	Ncnsln
)	)	-0
0	0	0
триадология	триадология	Ncfsnn
(	(	-0
учение	учение	Ncnsnn
о	о	Sp-l
святой	святой	Afpfslf
Троице	троица	Ncfsln
)	)	-0
0	0	0
эсхатология	эсхатология	Ncfsnn
(	(	-0
учение	учение	Ncnsnn
о	о	Sp-l
последних	последний	Afpmplf
судьбах	судьба	Ncfpln
мира	мир	Ncmsgn
)	)	-0
.	.	SENT
Я	я	P-1-snn
перечислил	перечислить	Vmis-sma-p
далеко	далеко	R
не	не	Q
все	все	P--nsnn
разделы	раздел	Ncmpnn
«	«	-0
науки	наука	Ncfsgn
о	о	Sp-l
Боге	бог	Ncmsly
»	»	-0
0	0	0
которая	который	P--fsna
теперь	теперь	P-----r
в	в	Sp-l
России	Россия	Ncfsln
на	на	Sp-l
государственном	государственный	Afpmslf
уровне	уровень	Ncmsln
считается	считаться	Vmip3s-m-e
такой	такой	P--msna
же	же	Q
наукой	наука	Ncfsin
0	0	0
как	как	C
органическая	органический	Afpfsnf
химия	химия	Ncfsnn
и	и	C
сопромат	сопромат	Ncmsan
.	.	SENT
Хотелось	хотеться	Vmis-snm-e
бы	бы	Q
понять	понять	Vmn----a-p
0	0	0
каким	какой	P--msia
образом	образ	Ncmsin
0	0	0
например	например	R
0	0	0
в	в	Sp-l
диссертации	диссертация	Ncfsln
по	по	Sp-d
ангелологии	ангелологии	Ncfsdn
будут	быть	Vmif3p-a-e
использованы	использовать	Vmps-p-psp
такие	такой	P---pna
методы	метод	Ncmpnn
науки	наука	Ncfsgn
как	как	C
наблюдение	наблюдение	Ncnsnn
0	0	0
эксперимент	эксперимент	Ncmsnn
0	0	0
проверка	проверка	Ncfsnn
гипотез	гипотеза	Ncfpgn
0	0	0
как	как	C
при	при	Sp-l
изучении	изучение	Ncnsln
ангелов	ангел	Ncmpgy
ученые	ученый	Ncmpny
смогут	смочь	Vmif3p-a-p
вести	вести	Vmn----a-e
документирование	документирование	Ncnsnn
наблюдений	наблюдение	Ncnpgn
0	0	0
соблюдать	соблюдать	Vmn----a-e
научные	научный	Afpmpaf
требования	требование	Ncnpan
объективности	объективность	Ncfsgn
и	и	C
воспроизводимости	воспроизводимости	Ncfsgn
результатов	результат	Ncmpgn
.	.	SENT
Как	как	C
у	у	Sp-g
нас	мы	P-1-pgn
в	в	Sp-l
этих	этот	P---pla
науках	наука	Ncfpln
обстоят	обстоять	Vmip3p-a-e
дела	дело	Ncnsgn
с	с	Sp-i
принципами	принцип	Ncmpin
критичности	критичность	Ncfsgn
и	и	C
сомнения	сомнение	Ncnsgn
0	0	0
которые	который	P---pna
во	во	Sp-l
всех	весь	P---pla
науках	наука	Ncfpln
являются	являться	Vmip3p-m-e
атрибутами	атрибут	Ncmpin
научного	научный	Afpnsgf
исследования	исследование	Ncnsgn
.	.	SENT
Впрочем	впрочем	R
0	0	0
если	если	C
уж	уж	Q
пошли	пойти	Vmis-p-a-p
по	по	Sp-d
этому	этот	P--msda
пути	путь	Ncmsgn
0	0	0
надо	надо	R
идти	идти	Vmn----a-e
по	по	Sp-d
нему	он	P-3msdn
до	до	Sp-g
конца	конец	Ncmsgn
.	.	SENT
Почему	почему	P-----r
в	в	Sp-a
науку	наука	Ncfsan
пустили	пустить	Vmis-p-a-p
только	только	Q
христианское	христианский	Afpnsnf
богословие	богословие	Ncnsnn
?	?	SENT
А	а	C
чем	чем	C
хуже	плохой	Afcmsnf
вуду	вуду	Ncfsan
?	?	SENT
Вполне	вполне	R
возможно	возможно	R
0	0	0
что	что	C
именно	именно	Q
доктора	доктор	Ncmpny
наук	наука	Ncfpgn
в	в	Sp-l
области	область	Ncfsln
зомбиведения	зомбиведения	Ncnsgn
и	и	C
тайн	тайна	Ncfpgn
черной	черный	Afpfsgf
магии	магия	Ncfsgn
и	и	C
станут	стать	Vmif3p-a-p
тем	то	P--nsin
единственным	единственный	Afpmsif
средством	средство	Ncnsin
0	0	0
которое	который	P--nsna
сможет	смочь	Vmif3s-a-p
спасти	спасти	Vmn----a-p
Россию	Россия	Ncfsan
?	?	SENT
Или	или	C
спасти	спасти	Vmn----a-p
весь	весь	P--msaa
остальной	остальной	P--fsga
мир	мир	Ncmsan
от	от	Sp-g
России	Россия	Ncfsgn
…	…	Npmsgy
